TokensAlign  ;MOT          ;MOT N.;CONTEXT N.;FONEMA ANTERIOR;FONEMA POSTERIOR;SIMETRIA;SÍL·LABA (tipus);SÍL·LABA (posició);PROSÒDIA (tipus);PROSÒDIA (posició);TEST
petons       ;petons       ;66    ;7         ;t              ;n               ;A       ;T               ;SF                ;Dec             ;PF                ;T1
petó         ;petó         ;66    ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
distreta     ;distreta     ;67    ;4         ;ɾ              ;t               ;S       ;O               ;SM                ;Dec             ;PF                ;T1
plora        ;plora        ;68    ;10        ;l              ;ɾ               ;S       ;O               ;SI                ;Dec             ;PF                ;T2
opera        ;opera        ;69    ;5         ;p              ;ɾ               ;A       ;O               ;SM                ;Dec             ;PF                ;T1
operen       ;operen       ;69    ;5         ;p              ;ɾ               ;A       ;O               ;SM                ;Dec             ;PF                ;T1
vota         ;vota         ;70    ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
voten        ;voten        ;70    ;3         ;b              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T1
os           ;os           ;71    ;10        ;#              ;s               ;A       ;T               ;Mo                ;Dec             ;PF                ;T2
pipa         ;pipa         ;72    ;1+14      ;p              ;p               ;S       ;O               ;SI                ;Dec             ;PF                ;T3
semitò       ;semitò       ;73    ;7         ;t              ;#               ;A       ;O               ;SF                ;Dec             ;PF                ;T1
ressona      ;ressona      ;74    ;10        ;s              ;n               ;S       ;O               ;SM                ;Dec             ;PF                ;T2
queca        ;queca        ;75    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
queco        ;queco        ;75    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
quecos       ;quecos       ;75    ;2         ;k              ;k               ;S       ;O               ;SI                ;Dec             ;PF                ;T1
peu          ;peu          ;76    ;14        ;p              ;w               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
bava         ;bava         ;77    ;14        ;β              ;β               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
bufa         ;bufa         ;78    ;14        ;β              ;f               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
cita         ;cita         ;79    ;15        ;s              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
test         ;test         ;80    ;15        ;t              ;s               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
set          ;set          ;81    ;15        ;s              ;t               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
tassa        ;tassa        ;82    ;15        ;t              ;s               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
sot          ;sot          ;83    ;15        ;s              ;t               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
sota         ;sota         ;84    ;15        ;s              ;t               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
fotuda       ;fotuda       ;85    ;15        ;t              ;ð               ;S       ;O               ;SM                ;Dec             ;PF                ;T3
motxilla     ;motxilla     ;86    ;16        ;t͡ʃ            ;ʎ               ;A       ;O               ;SM                ;Dec             ;PF                ;T3
lletja       ;lletja       ;87    ;16        ;ʎ              ;d͡ʒ             ;A       ;T               ;SI                ;Dec             ;PF                ;T3
recull_estris;recull_estris;88    ;16        ;ʎ              ;s               ;A       ;T               ;SM                ;Dec             ;PF                ;T3
enllaça      ;enllaça      ;89    ;16        ;ʎ              ;s               ;A       ;O               ;SM                ;Dec             ;PF                ;T3
llotja       ;llotja       ;90    ;16        ;ʎ              ;d͡ʒ             ;A       ;T               ;SI                ;Dec             ;PF                ;T3
lloll        ;Lloll        ;91    ;16        ;ʎ              ;ʎ               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
llull        ;Llull        ;92    ;16        ;ʎ              ;ʎ               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
til·la       ;til·la       ;93    ;17        ;t              ;l               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
tele         ;tele         ;94    ;17        ;t              ;l               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
cel          ;cel          ;95    ;17        ;s              ;l               ;A       ;T               ;Mo                ;Dec             ;PF                ;T3
sala         ;sala         ;96    ;17        ;s              ;l               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
cosa         ;cosa         ;97    ;17        ;k              ;z               ;A       ;O               ;SI                ;Dec             ;PM                ;T3
sola         ;sola         ;98    ;17        ;s              ;l               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
torre        ;torre        ;99    ;17        ;t              ;r               ;A       ;O               ;SI                ;Dec             ;PF                ;T3
titula       ;titula       ;100   ;17        ;t              ;l               ;A       ;O               ;SM                ;Dec             ;PF                ;T3
